10.000000,0.300000,49.642992,328878.862372,0.333920,1.995262,5.011872,1.265766,2.094029,282210.937415,76845.174587,259380.331958,77621.388471,328878.862372,984904.322466
10.500000,0.300000,49.543131,329541.760791,0.338722,2.024682,5.186000,1.275078,2.153201,291813.754234,78682.150229,268206.289722,79476.919424,329541.760791,972896.792020
11.000000,0.300000,49.496392,329852.945216,0.343153,2.053136,5.357657,1.284223,2.212814,301156.522080,80442.421442,276793.236237,81254.971154,329852.945216,961242.330834
11.500000,0.300000,49.496030,329855.355554,0.347247,2.080699,5.526988,1.293217,2.272906,310257.585444,82132.469356,285158.031940,82962.090259,329855.355554,949915.404579
12.000000,0.300000,49.536665,329584.772484,0.351036,2.107436,5.694123,1.302074,2.333515,319133.790554,83757.971878,293316.160214,84604.011998,329584.772484,938890.569009
12.500000,0.300000,49.614596,329067.088147,0.354543,2.133404,5.859182,1.310807,2.394715,327805.370969,85323.937833,301286.217744,86185.795791,329067.088147,928143.453354
13.000000,0.300000,49.726039,328329.605442,0.357791,2.158654,6.022272,1.319429,2.456536,336284.834502,86834.801254,309079.700471,87711.920459,328329.605442,917657.459852
13.500000,0.300000,49.867679,327397.042184,0.360802,2.183233,6.183490,1.327949,2.518998,344582.429054,88294.515059,316706.027249,89186.378847,327397.042184,907414.436521
14.000000,0.300000,50.045005,326236.969124,0.363558,2.207183,6.342926,1.336411,2.582338,352710.113434,89706.611009,324176.189433,90612.738393,326236.969124,897345.817299
14.500000,0.300000,50.258072,324853.897341,0.366062,2.230542,6.500662,1.344835,2.646657,360675.938487,91074.263865,331497.586561,91994.205924,324853.897341,887428.073457
15.000000,0.300000,50.489729,323363.402225,0.368400,2.253343,6.656775,1.353162,2.711602,368488.872156,92400.335531,338678.461077,93333.672254,323363.402225,877750.638011
15.500000,0.300000,50.752756,321687.567565,0.370518,2.275619,6.811334,1.361463,2.777580,376156.705346,93687.413434,345725.973609,94633.750944,321687.567565,868209.617344
16.000000,0.300000,51.030573,319936.256167,0.372498,2.297397,6.964405,1.369675,2.844209,383686.988058,94937.850286,352647.063371,95896.818471,319936.256167,858894.574650
16.500000,0.300000,51.329223,318074.765391,0.374317,2.318703,7.116046,1.377836,2.911707,391086.437947,96153.786982,359447.904565,97125.037356,318074.765391,849746.668172
17.000000,0.300000,51.647514,316114.551512,0.375985,2.339563,7.266315,1.385951,2.980093,398360.755967,97337.177211,366133.736943,98320.381021,316114.551512,840763.781832
17.500000,0.300000,51.976965,314110.888236,0.377545,2.359997,7.415264,1.393989,3.049156,405515.878616,98489.813727,372710.016746,99484.660330,314110.888236,831981.704604
18.000000,0.300000,52.331849,311980.771436,0.378938,2.380026,7.562942,1.402024,3.119365,412554.942856,99613.341403,379179.627159,100619.536770,311980.771436,823303.387374
18.500000,0.300000,52.703749,309779.305288,0.380204,2.399670,7.709393,1.410026,3.190508,419482.970851,100709.273985,385547.184056,101726.539379,309779.305288,814771.166497
19.000000,0.300000,53.084375,307558.119323,0.381386,2.418945,7.854662,1.417959,3.262351,426304.906490,101779.007225,391817.231373,102807.078005,307558.119323,806421.151332
19.500000,0.300000,53.489171,305230.580717,0.382418,2.437869,7.998789,1.425904,3.335437,433025.120925,102823.834316,397993.786636,103862.458905,305230.580717,798159.271131
20.000000,0.300000,53.901515,302895.576612,0.383379,2.456456,8.141811,1.433786,3.409240,439646.945575,103844.952134,404079.911758,104893.891044,302895.576612,790069.054331
20.500000,0.300000,54.337510,300465.194465,0.384198,2.474721,8.283764,1.441687,3.484339,446173.989151,104843.471856,410078.923507,105902.496824,300465.194465,782058.717325
21.000000,0.300000,54.776790,298055.631557,0.384970,2.492676,8.424682,1.449521,3.559942,452589.958092,105820.426040,415975.846458,106889.319233,298055.631557,774230.448862
21.500000,0.300000,55.228462,295618.054860,0.385654,2.510334,8.564597,1.457355,3.636165,458858.888589,106776.814453,421737.626240,107855.368134,295618.054860,766537.222548
22.000000,0.300000,55.686086,293188.689393,0.386284,2.527707,8.703539,1.465135,3.713098,465042.558565,107713.726591,427421.042998,108801.744032,293188.689393,758997.755765
22.500000,0.300000,56.157813,290725.895822,0.386828,2.544806,8.841537,1.472901,3.791065,471144.638873,108631.775401,433029.470618,109729.066062,290725.895822,751563.110027
23.000000,0.300000,56.652209,288188.771162,0.387253,2.561642,8.978618,1.480702,3.870398,477164.882123,109531.936916,438562.681722,110638.320117,288188.771162,744187.925620
23.500000,0.300000,57.152440,285666.379868,0.387630,2.578222,9.114808,1.488454,3.950507,483111.242001,110414.819829,444027.986551,111530.121039,285666.379868,736955.613839
24.000000,0.300000,57.666701,283118.861361,0.387931,2.594558,9.250131,1.496199,4.031705,488983.277497,111281.089197,449424.979773,112405.140603,283118.861361,729817.103587
24.500000,0.300000,58.204111,280504.768718,0.388120,2.610657,9.384611,1.503988,4.114366,494781.475239,112131.565467,454754.108647,113264.207543,280504.768718,722727.483992
25.000000,0.300000,58.747219,277911.550909,0.388269,2.626528,9.518270,1.511731,4.197838,500512.781982,112966.657917,460021.757942,114107.735269,277911.550909,715770.919651
25.500000,0.300000,59.304324,275300.844421,0.388348,2.642178,9.651129,1.519473,4.282443,506175.257640,113787.008478,465226.144523,114936.372200,275300.844421,708902.269133
26.000000,0.300000,59.886086,272626.443536,0.388315,2.657615,9.783209,1.527267,4.368664,511774.291045,114593.260153,470372.221272,115750.767832,272626.443536,702075.561290
26.500000,0.300000,60.472983,269980.571732,0.388255,2.672845,9.914530,1.535018,4.455682,517308.676305,115385.765638,475458.879851,116551.278422,269980.571732,695369.531876
