0.000000,0.226893,0.486049
0.020408,0.226893,0.488505
0.040816,0.226893,0.490990
0.061224,0.226893,0.493504
0.081633,0.226893,0.496047
0.102041,0.226893,0.498620
0.122449,0.226893,0.501223
0.142857,0.226893,0.503857
0.163265,0.226893,0.506522
0.183673,0.226893,0.509220
0.204082,0.226893,0.511949
0.224490,0.226893,0.514711
0.244898,0.226893,0.517507
0.265306,0.226893,0.520337
0.285714,0.226893,0.523201
0.306122,0.226893,0.526100
0.326531,0.226893,0.529034
0.346939,0.226893,0.532005
0.367347,0.226893,0.535013
0.387755,0.226893,0.538058
0.408163,0.226893,0.541141
0.428571,0.226893,0.544263
0.448980,0.226893,0.547424
0.469388,0.226893,0.550625
0.489796,0.226893,0.553866
0.510204,0.226893,0.557149
0.530612,0.226893,0.560474
0.551020,0.226893,0.563842
0.571429,0.226893,0.567253
0.591837,0.226893,0.570708
0.612245,0.226893,0.574209
0.632653,0.226893,0.577755
0.653061,0.226893,0.581347
0.673469,0.226893,0.584987
0.693878,0.226893,0.588675
0.714286,0.226893,0.592412
0.734694,0.226893,0.596198
0.755102,0.226893,0.600036
0.775510,0.226893,0.603925
0.795918,0.226893,0.607866
0.816327,0.226893,0.611861
0.836735,0.226893,0.615910
0.857143,0.226893,0.620015
0.877551,0.226893,0.624175
0.897959,0.226893,0.628393
0.918367,0.226893,0.632670
0.938776,0.226893,0.637005
0.959184,0.226893,0.641401
0.979592,0.226893,0.645858
1.000000,0.226893,0.650377
